WARN ( ./pmacct.conf.vaultaire ): Unknown key: print_output. Line 4 ignored.
OK ( default/core ): link type is: 1
WARN ( default/core ): eth1: no IPv4 address assigned
ID     CLASS             SRC_MAC            DST_MAC            VLAN   SRC_AS  DST_AS  SRC_IP           DST_IP           SRC_PORT  DST_PORT  TCP_FLAGS  PROTOCOL    TOS    PACKETS               FLOWS                 BYTES
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.226.13     101.68.66.142    0         0         0          ip          0      313                   0                     385742
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.238.66     101.172.42.160   0         0         0          ip          0      248                   0                     320644
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.137.26.35    110.173.157.213  0         0         0          ip          0      43                    0                     3113
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       108.162.249.98   202.4.230.150    0         0         0          ip          0      102                   0                     24621
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       103.245.88.253   110.173.157.7    0         0         0          ip          0      74                    0                     5018
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.173.158.129  220.245.163.238  0         0         0          ip          0      166                   0                     188868
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.63.254.5     202.4.236.216    0         0         0          ip          0      232                   0                     194816
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.228.242    66.249.77.80     0         0         0          ip          0      354                   0                     319014
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       108.162.250.103  202.4.230.150    0         0         0          ip          0      159                   0                     60741
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.231.45     202.171.240.198  0         0         0          ip          0      2116                  0                     3003736
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       41.138.162.110   202.4.234.251    0         0         0          ip          0      7                     0                     584
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.231.45     202.146.211.4    0         0         0          ip          0      154                   0                     223768
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.229.216    58.168.95.83     0         0         0          ip          0      366                   0                     449795
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       65.55.185.254    202.4.230.131    0         0         0          ip          0      47                    0                     2732
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       186.235.57.193   202.4.229.109    0         0         0          ip          0      4                     0                     220
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       116.250.39.126   110.173.157.11   0         0         0          ip          0      692                   0                     57987
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       203.58.15.149    202.4.232.203    0         0         0          ip          0      494                   0                     110578
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.173.157.7    103.245.88.253   0         0         0          ip          0      81                    0                     116046
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       122.148.169.80   110.173.157.181  0         0         0          ip          0      939                   0                     157233
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       203.45.18.116    110.173.158.130  0         0         0          ip          0      1930                  0                     2758999
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       118.210.150.101  202.4.230.41     0         0         0          ip          0      125                   0                     5379
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.234.251    41.138.162.110   0         0         0          ip          0      5                     0                     395
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.230.131    65.55.185.254    0         0         0          ip          0      88                    0                     108648
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.146.211.4    202.4.231.45     0         0         0          ip          0      80                    0                     4209
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.33.98.115    202.4.229.183    0         0         0          ip          0      68                    0                     12228
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.173.157.213  202.137.26.35    0         0         0          ip          0      67                    0                     85040
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.235.221    101.160.14.69    0         0         0          ip          0      81                    0                     24766
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.173.158.130  203.45.18.116    0         0         0          ip          0      1790                  0                     85079
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.232.203    203.58.15.149    0         0         0          ip          0      752                   0                     818084
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       123.125.71.18    202.4.239.135    0         0         0          ip          0      12                    0                     480
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       122.150.109.105  110.173.154.106  0         0         0          ip          0      27                    0                     3257
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       203.55.166.100   202.4.239.135    0         0         0          ip          0      163                   0                     23143
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       180.76.6.158     202.4.228.250    0         0         0          ip          0      42                    0                     1680
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.189.78.210   110.173.157.213  0         0         0          ip          0      10                    0                     412
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.228.250    180.76.6.158     0         0         0          ip          0      31                    0                     45495
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.229.183    110.33.98.115    0         0         0          ip          0      74                    0                     73343
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.173.154.106  122.150.109.105  0         0         0          ip          0      26                    0                     31216
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       210.55.186.165   202.4.239.153    0         0         0          ip          0      4                     0                     196
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       220.236.220.124  202.4.236.140    0         0         0          ip          0      3                     0                     318
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.239.135    203.55.166.100   0         0         0          ip          0      211                   0                     231279
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.173.157.213  202.189.78.210   0         0         0          ip          0      5                     0                     212
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       1.152.68.86      202.4.224.77     0         0         0          ip          0      88                    0                     44439
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       203.2.134.10     110.173.154.180  0         0         0          ip          0      3380                  0                     674740
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       98.232.140.118   202.4.232.63     0         0         0          ip          0      1                     0                     131
