TAG         TAG2        CLASS             IN_IFACE    OUT_IFACE   SRC_MAC            DST_MAC            VLAN   COS SRC_AS      DST_AS      BGP_COMMS                AS_PATH                  PREF   MED    PEER_SRC_AS PEER_DST_AS PEER_SRC_IP      PEER_DST_IP      SRC_IP                                         DST_IP                                         SRC_MASK  DST_MASK  SRC_PORT  DST_PORT  TCP_FLAGS  PROTOCOL    TOS    PACKETS               FLOWS                 BYTES
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.214                                61.143.160.142                                 0         0         0         0         0          ip          0      1250                  0                     1897500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             157.55.39.74                                   110.173.143.129                                0         0         0         0         0          ip          0      1750                  0                     689500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             46.123.190.20                                  110.173.143.147                                0         0         0         0         0          ip          0      1750                  0                     112000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             204.246.163.76                                 110.173.143.35                                 0         0         0         0         0          ip          0      1750                  0                     241500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.34                                 204.246.163.76                                 0         0         0         0         0          ip          0      1750                  0                     213500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             24.107.75.250                                  110.173.143.147                                0         0         0         0         0          ip          0      1750                  0                     2656500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             204.246.163.76                                 110.173.143.33                                 0         0         0         0         0          ip          0      17500                 0                     9807000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.34                                 204.246.163.76                                 0         0         0         0         0          ip          0      3500                  0                     427000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             89.66.246.19                                   110.173.143.147                                0         0         0         0         0          ip          0      1750                  0                     112000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.147                                204.244.60.70                                  0         0         0         0         0          ip          0      5250                  0                     336000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.33                                 204.246.163.77                                 0         0         0         0         0          ip          0      8750                  0                     1739500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             98.210.6.62                                    110.173.143.147                                0         0         0         0         0          ip          0      12250                 0                     18595500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.170                                54.231.244.1                                   0         0         0         0         0          ip          0      28000                 0                     42504000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.233                                54.231.244.1                                   0         0         0         0         0          ip          0      19250                 0                     29221500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             173.14.103.10                                  110.173.143.147                                0         0         0         0         0          ip          0      7000                  0                     10297000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             204.246.163.76                                 110.173.143.34                                 0         0         0         0         0          ip          0      8750                  0                     4147500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             204.244.60.70                                  110.173.143.147                                0         0         0         0         0          ip          0      10500                 0                     15939000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.147                                216.226.55.218                                 0         0         0         0         0          ip          0      1750                  0                     112000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.230                                54.231.244.1                                   0         0         0         0         0          ip          0      1750                  0                     2656500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.143                                61.143.160.142                                 0         0         0         0         0          ip          0      1250                  0                     1897500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.147                                38.97.193.170                                  0         0         0         0         0          ip          0      2500                  0                     160000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.147                                173.14.103.10                                  0         0         0         0         0          ip          0      2500                  0                     160000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.147                                98.210.6.62                                    0         0         0         0         0          ip          0      1250                  0                     80000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.147                                24.107.75.250                                  0         0         0         0         0          ip          0      2500                  0                     167500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.147                                142.22.54.114                                  0         0         0         0         0          ip          0      1250                  0                     80000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.147                                195.88.124.221                                 0         0         0         0         0          ip          0      1250                  0                     80000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             54.231.244.1                                   110.173.143.233                                0         0         0         0         0          ip          0      7000                  0                     448000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             50.247.77.113                                  110.173.143.147                                0         0         0         0         0          ip          0      1750                  0                     112000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.36                                 204.246.163.76                                 0         0         0         0         0          ip          0      1750                  0                     521500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             204.246.163.76                                 110.173.143.35                                 0         0         0         0         0          ip          0      3500                  0                     483000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.171                                54.231.244.1                                   0         0         0         0         0          ip          0      7000                  0                     10626000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.248                                58.7.173.125                                   0         0         0         0         0          ip          0      1750                  0                     2642500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             204.156.77.12                                  110.173.143.147                                0         0         0         0         0          ip          0      1750                  0                     2481500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             101.187.9.249                                  110.173.143.248                                0         0         0         0         0          ip          0      1750                  0                     112000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             195.242.151.7                                  110.173.143.147                                0         0         0         0         0          ip          0      1750                  0                     2376500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.138                                54.231.244.9                                   0         0         0         0         0          ip          0      1750                  0                     2656500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             93.136.78.55                                   110.173.143.147                                0         0         0         0         0          ip          0      1750                  0                     2642500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             50.31.164.215                                  110.173.143.141                                0         0         0         0         0          ip          0      1750                  0                     112000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             38.114.100.37                                  110.173.143.147                                0         0         0         0         0          ip          0      3500                  0                     5313000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             188.187.176.136                                110.173.143.147                                0         0         0         0         0          ip          0      3500                  0                     5243000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.147                                116.90.140.22                                  0         0         0         0         0          ip          0      1750                  0                     112000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.230                                54.231.244.9                                   0         0         0         0         0          ip          0      1750                  0                     2656500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             46.158.123.136                                 110.173.143.147                                0         0         0         0         0          ip          0      1750                  0                     2642500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             203.86.207.156                                 110.173.143.147                                0         0         0         0         0          ip          0      1750                  0                     2201500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.248                                120.17.50.138                                  0         0         0         0         0          ip          0      1250                  0                     1815000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.147                                68.100.198.51                                  0         0         0         0         0          ip          0      1250                  0                     80000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.147                                91.129.167.98                                  0         0         0         0         0          ip          0      1250                  0                     80000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.147                                81.218.202.58                                  0         0         0         0         0          ip          0      1250                  0                     80000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.97                                 24.43.255.232                                  0         0         0         0         0          ip          0      1250                  0                     181250
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.147                                92.56.113.151                                  0         0         0         0         0          ip          0      1250                  0                     80000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             216.226.55.218                                 110.173.143.147                                0         0         0         0         0          ip          0      3500                  0                     5313000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             81.218.202.58                                  110.173.143.147                                0         0         0         0         0          ip          0      3500                  0                     4963000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             38.97.193.170                                  110.173.143.147                                0         0         0         0         0          ip          0      1750                  0                     2516500
